source,target
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_file_p
bfd_elf32_object_p,bfd_header_little_endian
_bfd_x86_elf_mkobject,bfd_elf_allocate_object
bfd_elf_allocate_object,bfd_zalloc
bfd_zalloc,bfd_alloc
bfd_elf32_object_p,elf_swap_ehdr_in
bfd_elf32_object_p,bfd_default_set_arch_mach
bfd_default_set_arch_mach,bfd_lookup_arch
bfd_elf32_object_p,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_elf32_object_p,bfd_alloc2
bfd_alloc2,bfd_alloc
bfd_alloc,_objalloc_alloc
_objalloc_alloc,malloc
bfd_elf32_object_p,bfd_alloc2
bfd_alloc2,bfd_alloc
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
elf_swap_shdr_in,bfd_get_file_size
bfd_get_file_size,bfd_get_size
bfd_get_size,bfd_stat
cache_bstat,fileno
cache_bstat,fstat
bfd_elf32_object_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_elf32_object_p,elf_swap_shdr_in
